Data,Total de Mortes,Novas Mortes no Dia
['17/03/2021'],[28477400.],[264700.]
['18/03/2021'],[9583200.],[136100.]
['19/03/2021'],[4838466.66666667],[93733.33333333]
['20/03/2021'],[2661281.81818182],[48660.]
['21/03/2021'],[1960180.],[32150.]
['22/03/2021'],[1181600.],[13730.]
['23/03/2021'],[878358.82352941],[36022.22222222]
['24/03/2021'],[653563.04347826],[16641.66666667]
['25/03/2021'],[514242.37288136],[21261.53846154]
['26/03/2021'],[398746.75324675],[20177.77777778]
['27/03/2021'],[337454.34782609],[22820.]
['28/03/2021'],[281166.66666667],[8615.78947368]
['29/03/2021'],[230683.82352941],[6540.]
['30/03/2021'],[199677.35849057],[16334.7826087]
['31/03/2021'],[159857.71144279],[9111.9047619]
['01/04/2021'],[135435.],[9564.1025641]
['02/04/2021'],[101198.14814815],[3378.57142857]
['03/04/2021'],[91875.76601671],[5577.14285714]
['04/04/2021'],[74379.3258427],[1341.86046512]
['05/04/2021'],[68367.48971193],[3117.07317073]
['06/04/2021'],[59642.37588652],[5278.20512821]
['07/04/2021'],[49575.80174927],[3038.52459016]
['08/04/2021'],[42027.59462759],[3094.73684211]
['09/04/2021'],[36607.15789474],[2719.08396947]
['10/04/2021'],[33138.78902554],[2344.85981308]
['11/04/2021'],[31317.88256228],[2591.04477612]
['12/04/2021'],[28895.66639411],[1394.94949495]
['13/04/2021'],[26889.83433735],[3526.66666667]
['14/04/2021'],[23521.67101828],[1595.58823529]
['15/04/2021'],[20950.92165899],[1645.09803922]
['16/04/2021'],[19065.74844075],[1657.9787234]
['17/04/2021'],[17260.01868286],[1249.76958525]
['18/04/2021'],[15759.60067969],[677.9342723]
['19/04/2021'],[15118.60276198],[1147.22222222]
['20/04/2021'],[14511.63509857],[2556.8]
['21/04/2021'],[13817.36592484],[2154.54545455]
['22/04/2021'],[13096.90295939],[1128.48484848]
['23/04/2021'],[11500.60042029],[585.64705882]
['24/04/2021'],[10415.44276458],[724.66487936]
['25/04/2021'],[9532.65960069],[269.68838527]
['26/04/2021'],[9044.56369575],[397.37991266]
['27/04/2021'],[8481.83793178],[873.50157729]
['28/04/2021'],[7733.66122369],[558.95833333]
['29/04/2021'],[7177.09051333],[597.90697674]
['30/04/2021'],[6622.96037296],[426.36916836]
['01/05/2021'],[6238.69307548],[554.18719212]
['02/05/2021'],[5929.27081793],[244.41260745]
['03/05/2021'],[5695.23471848],[238.96551724]
['04/05/2021'],[5486.91461925],[838.60759494]
['05/05/2021'],[5120.44595616],[392.29422067]
['06/05/2021'],[4755.01863065],[292.30769231]
['07/05/2021'],[4460.54406964],[259.6345515]
['08/05/2021'],[4106.00978337],[166.26360339]
['09/05/2021'],[3863.4009009],[60.25039124]
['10/05/2021'],[3704.98966106],[90.3640257]
['11/05/2021'],[3551.76349438],[336.03773585]
['12/05/2021'],[3334.9891662],[208.66336634]
['13/05/2021'],[3150.8836858],[205.90500642]
['14/05/2021'],[2990.42074434],[191.30434783]
['15/05/2021'],[2805.46049993],[116.71858775]
['16/05/2021'],[2682.21810752],[48.]
['17/05/2021'],[2608.38193324],[72.36842105]
['18/05/2021'],[2505.17415297],[241.9047619]
['19/05/2021'],[2356.15859423],[133.71681416]
['20/05/2021'],[2254.81202609],[174.31506849]
['21/05/2021'],[2126.31316406],[86.44781145]
['22/05/2021'],[2029.45648043],[89.71028971]
['23/05/2021'],[1940.01271976],[-10.88082902]
['24/05/2021'],[1884.72602135],[20.98009188]
['25/05/2021'],[1825.74873259],[169.26889715]
['26/05/2021'],[1753.90421018],[130.79884504]
['27/05/2021'],[1684.02218923],[106.72191529]
['28/05/2021'],[1615.79950662],[105.10380623]
['29/05/2021'],[1553.83815195],[79.00355872]
['30/05/2021'],[1502.03579108],[-8.57740586]
['31/05/2021'],[1478.73712219],[79.16666667]
['01/06/2021'],[1453.92657915],[286.51685393]
