Data,Total de Morte,Novas Mortes no Dia
17/03/2020,1.0,1.0
18/03/2020,3.0,2.0
19/03/2020,6.0,3.0
20/03/2020,11.0,5.0
21/03/2020,15.0,4.0
22/03/2020,25.0,10.0
23/03/2020,34.0,9.0
24/03/2020,46.0,12.0
25/03/2020,59.0,13.0
26/03/2020,77.0,18.0
27/03/2020,92.0,15.0
28/03/2020,111.0,19.0
29/03/2020,136.0,25.0
30/03/2020,159.0,23.0
31/03/2020,201.0,42.0
01/04/2020,240.0,39.0
02/04/2020,324.0,84.0
03/04/2020,359.0,35.0
04/04/2020,445.0,86.0
05/04/2020,486.0,41.0
06/04/2020,564.0,78.0
07/04/2020,686.0,122.0
08/04/2020,819.0,133.0
09/04/2020,950.0,131.0
10/04/2020,1057.0,107.0
11/04/2020,1124.0,67.0
12/04/2020,1223.0,99.0
13/04/2020,1328.0,105.0
14/04/2020,1532.0,204.0
15/04/2020,1736.0,204.0
16/04/2020,1924.0,188.0
17/04/2020,2141.0,217.0
18/04/2020,2354.0,213.0
19/04/2020,2462.0,108.0
20/04/2020,2587.0,125.0
21/04/2020,2741.0,154.0
22/04/2020,2906.0,165.0
23/04/2020,3331.0,425.0
24/04/2020,3704.0,373.0
25/04/2020,4057.0,353.0
26/04/2020,4286.0,229.0
27/04/2020,4603.0,317.0
28/04/2020,5083.0,480.0
29/04/2020,5513.0,430.0
30/04/2020,6006.0,493.0
01/05/2020,6412.0,406.0
02/05/2020,6761.0,349.0
03/05/2020,7051.0,290.0
04/05/2020,7367.0,316.0
05/05/2020,7938.0,571.0
06/05/2020,8588.0,650.0
07/05/2020,9190.0,602.0
08/05/2020,10017.0,827.0
09/05/2020,10656.0,639.0
10/05/2020,11123.0,467.0
11/05/2020,11653.0,530.0
12/05/2020,12461.0,808.0
13/05/2020,13240.0,779.0
14/05/2020,13999.0,759.0
15/05/2020,14962.0,963.0
16/05/2020,15662.0,700.0
17/05/2020,16118.0,456.0
18/05/2020,16853.0,735.0
19/05/2020,17983.0,1130.0
20/05/2020,18859.0,876.0
21/05/2020,20047.0,1188.0
22/05/2020,21048.0,1001.0
23/05/2020,22013.0,965.0
24/05/2020,22666.0,653.0
25/05/2020,23473.0,807.0
26/05/2020,24512.0,1039.0
27/05/2020,25598.0,1086.0
28/05/2020,26754.0,1156.0
29/05/2020,27878.0,1124.0
30/05/2020,28834.0,956.0
31/05/2020,29314.0,480.0
01/06/2020,29937.0,623.0
02/06/2020,31199.0,1262.0
03/06/2020,32548.0,1349.0
04/06/2020,34021.0,1473.0
05/06/2020,35026.0,1005.0
06/06/2020,35930.0,904.0
